"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Jul 17 01:28:58 GMT 2024","Wed Jul 17 01:28:58 GMT 2024","0","chromium","specs/forms/GX3-3047_Practice-Form.spec.ts","GX3-3047_Practice-Form","","","TC2:insertar valores null en el form",""
"passed","Wed Jul 17 01:29:04 GMT 2024","Wed Jul 17 01:29:12 GMT 2024","7380","chromium","specs/elements/GX3-3378_ElementsRadioButtons.test.ts","","","","3379 | TC3: Validar que elemento radio button ""No"" esté deshabilitado.",""
"passed","Wed Jul 17 01:28:30 GMT 2024","Wed Jul 17 01:28:45 GMT 2024","14948","chromium","specs/elements/GX3-2854_Elementos_Fill_Form_and_Submit.spec.ts","GX3-2854 ","","","TC2: Validar enviar formulario",""
"passed","Wed Jul 17 01:28:28 GMT 2024","Wed Jul 17 01:28:42 GMT 2024","14274","chromium","specs/elements/GX3-2865_Tools-qa-interactions-selectable.spec.ts","GX3-2865 ToolsQA | Interactions | Selectable","","","GX3-2865 | TC2:Validar seleccionar elementos visualizados en Grid",""
"passed","Wed Jul 17 01:28:14 GMT 2024","Wed Jul 17 01:28:29 GMT 2024","15669","chromium","specs/elements/GX3-3006_Tools-qa-Elements_Upload_and_Download.spec.ts","GX3-3006 | ToolsQA | Elements | Upload and Download","","","TC1: Validar descargar un archivo desde demoqa",""
"skipped","Wed Jul 17 01:28:58 GMT 2024","Wed Jul 17 01:28:58 GMT 2024","0","chromium","specs/forms/GX3-3047_Practice-Form.spec.ts","GX3-3047_Practice-Form","","","TC3:Validar email incorrecto",""
"passed","Wed Jul 17 01:28:58 GMT 2024","Wed Jul 17 01:29:06 GMT 2024","8032","chromium","specs/widgets/GX3-4236-Dropdown-Select.test.ts","GX3-4236: Widgets | Dropdown - Select Menu","","","GX3-4237 | PW TC1: Should select value option from Select Value dropdown-type",""
"skipped","Wed Jul 17 01:28:58 GMT 2024","Wed Jul 17 01:28:58 GMT 2024","1","chromium","specs/widgets/GX3-2907_Dropdown-SelectMenu.spec.ts","GX3-2907 |ToolsQA | Widgets | Dropdown - Select Menu","","","GX3-2907 | TC2: Validar seleccionar una opción en el dropdown ""Select One""",""
"skipped","Wed Jul 17 01:28:58 GMT 2024","Wed Jul 17 01:28:58 GMT 2024","0","chromium","specs/forms/GX3-3047_Practice-Form.spec.ts","GX3-3047_Practice-Form","","","TC4:Validar ingresar un valor no numerico en Mobile number",""
"skipped","Wed Jul 17 01:28:58 GMT 2024","Wed Jul 17 01:28:58 GMT 2024","0","chromium","specs/widgets/GX3-2907_Dropdown-SelectMenu.spec.ts","GX3-2907 |ToolsQA | Widgets | Dropdown - Select Menu","","","GX3-2907 | TC3: Validar seleccionar una opción en el dropdown ""Old Style Select Menu""",""
"skipped","Wed Jul 17 01:28:58 GMT 2024","Wed Jul 17 01:28:58 GMT 2024","0","chromium","specs/widgets/GX3-2907_Dropdown-SelectMenu.spec.ts","GX3-2907 |ToolsQA | Widgets | Dropdown - Select Menu","","","GX3-2907 | TC4: Validar seleccionar todas las opciónes en el dropdown ""Multiselect drop down""",""
"passed","Wed Jul 17 01:28:43 GMT 2024","Wed Jul 17 01:28:55 GMT 2024","12240","chromium","specs/elements/GX3-3378_ElementsRadioButtons.test.ts","","","","3379 | TC1: Validar poder seleccionar elemento radio button ""Yes"".",""
"skipped","Wed Jul 17 01:28:58 GMT 2024","Wed Jul 17 01:28:58 GMT 2024","1","chromium","specs/widgets/GX3-2907_Dropdown-SelectMenu.spec.ts","GX3-2907 |ToolsQA | Widgets | Dropdown - Select Menu","","","GX3-2907 | TC5: Validar seleccionar una opción en el dropdown ""Standard multi select""",""
"skipped","Wed Jul 17 01:28:58 GMT 2024","Wed Jul 17 01:28:58 GMT 2024","0","chromium","specs/widgets/GX3-2907_Dropdown-SelectMenu.spec.ts","GX3-2907 |ToolsQA | Widgets | Dropdown - Select Menu","","","GX3-2907 | TC1: Validar seleccionar una opción en el dropdown ""Select Value""",""
